Date,Open,High,Low,Close,Volume,MA7,MA30,Daily_Return,Volatility_Amplitude,Dist_MA7,Dist_MA30,Volume_MA7,Volume_Momentum,Next_Day_Close,Target
2024-01-20,41696.05,41881.39,41500.98,41580.33,11730.16301,42098.29285714286,43384.422999999995,-0.0027753228423316157,0.009123406173966028,-0.012303654661259537,-0.04158388830018538,34069.467534285715,-0.6556986692499558,39568.02,0
2024-01-21,41580.32,41689.65,39431.58,39568.02,55426.19911,41677.85285714286,43246.61833333333,-0.04839549094379271,0.05430621986555177,-0.050622398048542364,-0.08506094753998304,36234.654117142854,0.5296461484305297,39897.6,1
2024-01-22,39568.02,40176.74,38555.0,39897.6,57956.63351,41214.94571428571,43143.48833333333,0.00832945393780133,0.040986129707779116,-0.03196281570811589,-0.07523472159355982,38079.066634285715,0.522007723209709,40084.88,1
2024-01-23,39897.59,40555.0,39484.19,40084.88,39293.82861,40830.48571428571,43027.113333333335,0.004694268500929527,0.026838964458755474,-0.018261005257276145,-0.06838091392605633,38940.15445285715,0.009082505247148554,39961.09,0
2024-01-24,40084.89,40300.24,39550.0,39961.09,31022.11853,40635.28428571428,42942.18533333333,-0.003088445546439142,0.018716279376094033,-0.01659135152036589,-0.06942113705189785,37099.38332714285,-0.16381039931455063,41823.51,1
2024-01-25,39961.09,42246.82,39822.52,41823.51,47384.96726,40658.78142857143,42888.674,0.04660583582680066,0.06066651335086213,0.028646421031450448,-0.024835554486949095,36962.557851428566,0.28197208241010885,42120.63,1
2024-01-26,41823.51,42200.0,41394.34,42120.63,16224.41667,40719.43714285714,42873.903000000006,0.007104138318376323,0.019263328209421053,0.034410909272321565,-0.017569499095988723,37005.475242857145,-0.5615671312549442,42031.06,0
2024-01-27,42120.63,42842.68,41620.81,42031.06,27294.99838,40783.82714285714,42872.70666666667,-0.002126511403082046,0.029008825366572216,0.030581555104528698,-0.019631293009103414,39229.02315285714,-0.3042141713892755,43302.7,1
2024-01-28,42031.05,43333.0,41804.88,43302.7,31542.74207,41317.352857142854,42911.454000000005,0.030255013852853882,0.03635693136383703,0.04805116992179039,0.00911751906612141,35817.10071857143,-0.11933848811931186,42941.1,0
2024-01-29,43302.71,43882.36,42683.99,42941.1,37619.24546,41752.138571428564,42933.37133333333,-0.008350747562912358,0.02767424948692594,0.028476659382067036,0.00018001536862000597,32911.759568571426,0.1430335525398014,42580.0,0
2024-01-30,42941.1,43745.11,42276.84,42580.0,39871.13688,42108.58428571428,42880.05299999999,-0.008409193057467054,0.03419264993211641,0.011195240169726013,-0.006997496015221638,32994.23217857142,0.20842748102787734,43082.94,1
2024-01-31,42580.0,43285.13,41884.28,43082.94,35231.04664,42554.56285714286,42817.92066666667,0.011811648661343408,0.032899248473461686,0.012416462710025293,0.0061894489318264564,33595.50762285715,0.04868326549797661,43200.0,1
2024-02-01,43082.95,43488.0,42546.79,43200.0,29672.14418,42751.20428571429,42829.746333333336,0.0027168520261496233,0.0218464613031373,0.010497849634511499,0.008644778416035224,31065.104325714285,-0.04484002793324779,43011.09,0
2024-02-02,43199.99,43380.01,42880.0,43011.09,12033.40998,42878.41285714286,42791.746,-0.004372686197381098,0.01157430823479362,0.0030942643166195333,0.005125848335330774,30466.389084285714,-0.6050267083929968,42582.88,0
2024-02-03,43011.1,43119.04,42222.0,42582.88,17066.89404,42957.24428571429,42739.67166666667,-0.009956034605020592,0.02085601158770645,-0.008714811481489481,-0.0036685276360921546,29005.23132142857,-0.41159255546459755,42708.7,1
2024-02-04,42582.88,43569.76,42258.1,42708.7,29467.75905,42872.38714285714,42697.68433333333,0.002954708558932597,0.030802519698057144,-0.0038180086010072083,0.00025799213326579593,28708.805175714286,0.02643627519990761,43098.95,1
2024-02-05,42708.7,43399.98,42574.0,43098.95,24675.85433,42894.93714285714,42670.01533333333,0.009137482526979282,0.019339853472477582,0.004756105748876937,0.010052367296235515,26859.7493,-0.08130734749635214,44349.6,1
2024-02-06,43098.96,44396.5,42788.0,44349.6,34392.59915,43147.73714285715,42583.30066666667,0.029017869572722857,0.03732108617006072,0.027854597638889395,0.041478685439617684,26077.101052857146,0.31888123147920866,45288.65,1
2024-02-07,44349.6,45614.3,44331.1,45288.65,45439.62231,43462.83857142857,42555.92233333333,0.02117380991034875,0.028933744610999974,0.04200856383484528,0.06421497918108038,27535.469005714283,0.6502214761829612,47132.77,1
2024-02-08,45288.66,48200.0,45242.12,47132.77,73503.481,44024.66285714286,42571.88166666667,0.04071902326101044,0.06531171379325414,0.07059922645955839,0.10713382060592487,33797.08855142857,1.1748465370959618,47751.09,1
2024-02-09,47132.78,48170.0,46800.0,47751.09,24802.35936,44701.80571428571,42618.946,0.013118470839190849,0.029066819313437485,0.06821389509864488,0.12041930835173616,35621.22417714285,-0.30371962410222325,48299.99,1
2024-02-10,47751.08,48592.66,47557.16,48299.99,29958.80837,45518.5357142857,42802.85466666667,0.011495237385206705,0.02168537339888438,0.0611059701738462,0.12842917548708022,37462.926224285715,-0.2003078405931114,49917.27,1
2024-02-11,48300.0,50334.82,47710.01,49917.27,59009.96705,46548.33142857143,43038.49733333333,0.03348385093167695,0.05434389233954447,0.0723750662598554,0.15982836513530066,41683.24165285715,0.4156760537350195,49699.59,0
2024-02-12,49917.28,50368.61,48300.95,49699.59,55551.56706,47491.27999999999,43304.072,-0.004361014862989376,0.041421728106980256,0.04649927312971992,0.1476886053579441,46094.05775714286,0.2051784929130389,51795.17,1
2024-02-13,49699.6,52043.71,49225.01,51795.17,57046.37401,48554.93285714286,43613.541,0.042164725671836385,0.05671474217096309,0.0667334285558685,0.18759377964747237,49330.31130857142,0.15641625801148895,51880.0,1
2024-02-14,51795.17,52816.62,51314.0,51880.0,53816.03055,49496.55428571429,43904.94266666667,0.0016377975011956085,0.029010813170417295,0.0481537704731423,0.18164372503299317,50526.94105714285,0.06509575731365556,52124.11,1
2024-02-15,51880.01,52572.08,51566.0,52124.11,37772.25318,50209.602857142854,44216.543,0.004705087759235177,0.01939244036383188,0.03813029846709467,0.17883729625809966,45422.47994,-0.16842380182908168,51642.64,0
2024-02-16,52124.1,52162.82,50625.0,51642.64,25674.00622,50765.53857142857,44560.38100000001,-0.009236802170205321,0.029503051371630392,0.017277496767562496,0.15893623081903158,45547.00092,-0.436318402937341,52137.67,1
2024-02-17,51642.64,52377.0,51163.28,52137.67,21992.10363,51313.77857142857,44909.669,0.009585683458475377,0.023502284158981826,0.016055949328006976,0.16094531892452818,44408.90024285715,-0.5047816201317151,51774.73,0
2024-02-18,52137.68,52488.77,51677.0,51774.73,29534.99432,51579.13,45245.62533333334,-0.006961376110329365,0.015569737663816204,0.0037922314703641925,0.14430355683152746,40198.18985285715,-0.2652655647403298,52258.82,1
2024-02-19,51774.74,52985.0,50760.37,52258.82,49614.47318,51944.73428571428,45601.575,0.009349733093782833,0.042967477963192044,0.006046536162032105,0.14598717259217478,39350.03358428571,0.2608495764998116,51849.39,0
2024-02-20,52258.82,52366.8,50625.0,51849.39,43079.40049,51952.479999999996,46010.954,-0.007834658340926953,0.03333025889218323,-0.0019843133571293714,0.12689230481941327,37354.75165285714,0.15325088733938877,51288.42,0
